コード,二次医療圏,総人口,高齢者数,医師数,病院数,病床数,病床数（精神）,病床数（療養）,病床数（一般）
101,南渡島,"357,414","129,565",925,33,6962,1627,1050,4264
102,南檜山,"21,075","8,923",28,5,443,48,118,273
103,北渡島檜山,"32,622","13,186",46,6,747,100,184,459
104,札幌,"2,382,414","674,714","7,530",229,40961,8299,8065,24522
105,後志,"196,847","76,631",409,21,3767,1274,719,1766
106,南空知,"149,946","59,243",269,17,2534,774,500,1256
107,中空知,"97,864","39,806",256,16,3044,1225,861,948
108,北空知,"29,410","12,723",66,5,1039,429,407,199
109,西胆振,"173,380","65,971",409,21,4769,1476,1319,1946
110,東胆振,"204,946","65,573",357,15,2518,734,399,1381
111,日高,"62,976","22,255",60,7,789,218,162,405
112,上川中部,"379,848","131,905","1,368",38,7104,1056,1614,4405
113,上川北部,"59,570","22,355",119,7,916,55,301,556
114,富良野,"39,347","13,303",53,5,598,170,97,327
115,留萌,"42,514","17,072",58,7,755,99,222,430
116,宗谷,"60,246","20,848",70,8,700,70,146,480
117,北網,"204,991","71,437",327,25,3028,455,583,1986
118,遠紋,"64,397","24,107",93,9,923,135,158,626
119,十勝,"327,316","104,353",671,32,4562,467,888,3201
120,釧路,"220,568","76,625",423,22,3869,519,914,2422
121,根室,"89,340","26,650",76,7,702,215,60,423
201,津軽地域,"274,382","92,968",981,20,4057,869,548,2634
202,八戸地域,"312,412","102,425",639,27,4425,1387,493,2539
203,青森地域,"296,116","97,549",693,21,4457,1164,668,2587
204,西北五地域,"122,498","47,822",167,8,980,164,252,560
205,上十三地域,"168,132","56,622",212,11,1793,679,172,938
206,下北地域,"69,541","24,337",103,3,622,54,120,444
301,盛岡,"459,292","137,004","1,550",39,7046,1564,1253,4209
302,岩手中部,"216,651","71,210",343,12,1931,528,95,1282
303,胆江,"128,581","44,896",214,9,1559,274,290,967
304,両磐,"119,024","44,809",232,10,1517,359,60,1084
305,気仙,"57,673","22,892",100,3,702,198,60,430
306,釜石,"42,571","16,888",65,6,979,204,102,673
307,宮古,"75,790","30,250",99,6,1196,572,148,462
308,久慈,"55,649","20,600",67,4,666,210,85,367
309,二戸,"51,248","20,815",88,3,550,147,45,349
401,仙南,"164,081","57,095",267,13,1799,601,352,838
403,仙台,"1,493,043","379,533","4,786",77,16126,3823,1262,11031
406,大崎・栗原,"259,122","90,781",508,25,3102,692,921,1454
409,石巻・登米・気仙沼,"332,577","116,970",579,20,3568,1023,640,1897
501,県北,#REF!,#REF!,,9,1455,324,273,848
502,県央,#REF!,#REF!,"1,365",2,464,184,48,224
503,県南,#REF!,#REF!,,6,1157,270,229,654
601,村山,"526,676","170,869","1,604",33,7604,2201,858,4507
602,最上,"70,577","26,049",105,5,1019,180,92,745
603,置賜,"197,754","68,706",382,15,2395,430,374,1587
604,庄内,"261,675","95,254",534,14,3095,650,744,1697
701,県北,"430,286","138,263","1,468",31,5884,1520,359,3971
702,県中,"511,583","149,680","1,076",32,6987,1712,740,4529
703,県南,"138,371","43,042",233,7,1497,470,125,886
706,相双,"164,309","57,286",174,10,1485,303,302,880
707,いわき,"314,913","98,941",618,26,4550,1195,962,2372
708,会津・南会津,"259,586","93,207",527,18,3678,934,495,2227
801,水戸,"461,198","135,151","1,202",39,6178,1228,846,4069
802,日立,"241,981","81,715",412,21,3783,1303,651,1825
803,常陸太田・ひたちなか,"354,832","109,998",437,20,2402,323,527,1526
804,鹿行,"269,626","81,499",277,11,1704,178,540,980
805,土浦,"254,717","78,513",597,17,3084,1168,462,1448
806,つくば,"361,067","80,231","1,554",16,3793,516,617,2621
807,取手・竜ヶ崎,"462,869","144,207",,23,4719,1151,567,2993
808,筑西・下妻,"256,604","80,598",317,14,2291,377,893,1021
809,古河・坂東,"227,483","66,933",354,12,2576,999,218,1355
901,県北,"367,439","114,283",604,21,3817,1071,706,2034
902,県西,"174,371","57,781",297,11,1737,441,446,846
903,宇都宮,"519,136","133,699","1,182",33,6395,1877,1396,3086
904,県東,"141,157","42,895",210,5,1017,240,181,592
905,県南,"480,097","136,403","2,133",23,5257,660,730,3860
906,両毛,"260,294","83,648",523,16,2913,674,507,1728
1001,前橋,"333,263","99,216","1,568",20,4355,922,382,3034
1002,渋川,"111,544","35,464",268,10,2183,977,100,1056
1003,伊勢崎,"248,635","63,588",425,11,2649,757,420,1468
1004,高崎・安中,"426,884","125,744",915,30,4490,878,937,2659
1005,藤岡,"66,401","22,254",169,5,866,-,155,707
1006,富岡,"68,206","25,133",151,4,998,360,107,527
1007,吾妻,"39,545","15,501",74,9,1327,223,396,704
1008,沼田,"72,488","26,935",141,7,962,-,270,688
1009,桐生,"156,147","53,729",303,12,2065,286,553,1222
1010,太田・館林,"227,951","71,415",643,19,3525,590,709,2216
1101,南部,"822,260","180,368","2,076",29,5304,988,871,3445
1102,南西部,"734,675","172,128","1,201",30,5652,1106,906,3636
1103,東部,"1,165,705","307,900",806,50,9326,1969,1345,6010
1104,さいたま,"1,674,326","438,412",504,39,7986,1165,1208,5582
1105,県央,"533,836","153,757",487,18,3946,742,826,2369
1106,川越比企,"788,194","235,176",250,48,9371,2446,1913,5002
1107,西部,"773,120","229,428",552,54,9631,2472,2231,4919
1108,利根,"639,151","201,314",368,32,5614,1232,645,3653
1109,北部,"514,230","155,657",540,34,5310,1618,913,2720
1110,秩父,"95,302","34,022",193,8,750,-,237,513
1201,千葉,"1,007,909","264,624","3,108",48,9230,1264,1508,6428
1202,東葛南部,"1,793,816","415,547",825,61,14526,3510,2307,8656
1203,東葛北部,"1,417,887","376,635",290,59,12322,2319,1751,8244
1204,印旛,"726,449","208,660","1,339",30,7840,1560,1479,4792
1205,香取海匝,"262,875","94,863",260,21,3559,839,839,1861
1206,山武長生夷隅,"415,047","150,836",379,23,4136,1022,1125,1981
1207,安房,"120,558","50,942",532,16,2736,719,591,1422
1208,君津,"326,175","99,065",248,19,3052,606,869,1553
1209,市原,"271,740","81,824",8,13,2402,369,409,1624
1301,区中央部,"995,517","203,085","12,307",48,13480,248,465,12735
1302,区南部,"1,132,402","247,630","3,727",40,7762,178,1336,6228
1303,区西南部,"1,423,497","284,931",24,51,10728,1232,2034,7430
1304,区西部,"1,242,942","255,303",1,41,9958,105,1257,8570
1305,区西北部,"1,874,801","429,815","5,414",93,17197,3007,4065,10093
1306,区東北部,"1,366,732","335,032","2,444",89,10976,1252,2140,7543
1307,区東部,"1,491,415","321,402","3,243",54,8852,165,1450,7205
1308,西多摩,"377,962","114,615",690,28,6058,2182,2079,1793
1309,南多摩,"1,419,982","381,335","2,707",73,16009,6686,3288,6027
1310,北多摩西部,"660,219","164,733","1,405",26,4948,296,1082,3534
1311,北多摩南部,"1,044,446","230,760","3,434",43,10775,3372,1129,6167
1312,北多摩北部,"744,900","191,159","1,557",42,8355,2133,1587,4413
1313,島しょ,"24,382","8,797",33,1,54,-,-,52
1404,川崎北部,"857,629","176,776",2,20,5921,1520,646,3755
1405,川崎南部,"664,761","129,869",1,19,5030,238,445,4295
1406,横須賀・三浦,"703,940","225,618",2,29,6027,872,993,4156
1407,湘南東部,"737,969","187,196",2,25,5035,913,1095,3021
1408,湘南西部,"576,414","170,490",28,21,6139,1502,1090,3511
1409,県央,"704,405","186,552",1,32,6871,1586,994,4285
1410,相模原,"507,882","135,414","1,790",35,6981,961,2343,3671
1411,県西,"337,535","109,014",622,23,3805,879,894,2026
1412,横浜,"3,797,689","969,944","9,178",132,27949,5016,4320,18511
1501,下越,"199,916","69,638",362,16,2630,756,525,1345
1502,新潟,"1,440,947","416,512","2,519",47,10953,2397,1822,6696
1503,県央,"217,256","72,069",285,10,1795,240,192,1363
1504,中越,"426,154","139,371",882,19,5491,1501,552,3428
1505,魚沼,"156,191","58,614",251,11,1671,333,202,1132
1506,上越,"258,383","89,621",506,14,3056,797,103,2150
1507,佐渡,"51,915","21,768",89,3,611,158,-,449
1601,新川,"110,911","38,343",4,14,1922,290,573,1045
1602,富山,"492,347","149,687",4,50,7393,1372,1947,4044
1603,高岡,"303,902","101,790",683,26,3638,862,643,2106
1604,砺波,"125,227","44,058",3,16,2058,518,594,937
1701,南加賀,"227,083","67,607",438,18,2570,585,411,1560
1702,石川中央,"715,518","191,426","2,596",58,11757,2783,2495,6446
1703,能登中部,"119,822","47,311",254,10,1628,230,76,1278
1704,能登北部,"63,343","28,361",102,5,598,-,84,503
1801,福井・坂井,"394,996","117,189","1,545",35,6126,1154,833,4111
1802,奥越,"53,766","19,976",70,6,510,135,93,282
1803,丹南,"177,822","53,026",254,16,1835,378,536,905
1804,嶺南,"134,370","42,475",263,10,1778,501,301,961
1901,中北,"460,603","134,447","1,525",32,6004,1255,1144,3571
1902,峡東,"132,553","43,443",284,14,2421,482,568,1367
1903,峡南,"58,643","23,247",61,6,549,-,150,395
1904,富士・東部,"174,602","55,801",278,8,1624,536,137,943
2001,佐久,"206,606","66,877",579,13,2383,330,362,1687
2002,上小,"194,400","61,153",358,16,2514,557,577,1376
2003,諏訪,"188,088","61,933",493,11,1960,212,212,1532
2004,上伊那,"148,849","47,075",306,10,1573,330,274,965
2005,飯伊,"156,473","53,230",318,9,1572,235,262,1071
2006,木曽,"19,016","8,230",37,1,197,-,19,174
2007,松本,"421,597","124,631","1,681",26,5004,1175,417,3385
2008,大北,"53,593","19,961",128,2,523,120,48,351
2009,長野,"531,467","166,920","1,223",34,6405,1531,982,3860
2010,北信,"88,581","31,316",167,3,823,140,82,597
2101,岐阜,"799,156","226,314","2,416",40,8278,1148,1334,5748
2102,西濃,"344,765","106,098",634,15,3485,986,563,1890
2103,中濃,"374,583","121,833",662,19,3382,705,478,2193
2104,東濃,"325,906","105,977",634,14,2877,576,258,2024
2105,飛騨,"141,370","50,733",284,9,1639,404,231,992
2201,賀茂,"60,340","27,554",674,8,1215,438,299,474
2202,熱海伊東,"102,241","46,027",871,6,974,-,246,724
2203,駿東田方,"616,869","187,105",573,46,7420,1156,1744,4514
2204,富士,"380,862","109,822",57,17,3383,903,789,1675
2205,静岡,"689,079","211,450",126,27,7237,961,1763,4457
2206,志太榛原,"457,754","140,434",116,13,3852,423,995,2420
2207,中東遠,"466,237","131,656",49,19,3548,877,1043,1622
2208,西部,"1,139,070","323,159",93,34,8644,1743,1805,5058
2302,海部,"331,121","90,180",586,11,2215,480,549,1180
2304,尾張東部,"478,589","117,348",1,19,5588,1273,716,3568
2305,尾張西部,"517,620","141,510","1,042",20,4610,925,654,3007
2306,尾張北部,"759,161","207,135","1,389",26,5975,1139,1429,3401
2307,知多半島,"616,720","155,816",8,18,3904,860,493,2543
2308,西三河北部,"480,494","112,761",863,20,3517,729,641,2141
2309,西三河南部西,"706,739","157,512","1,173",22,4784,393,1227,3158
2310,西三河南部東,"427,887","101,498",795,16,3162,706,716,1740
2311,東三河北部,"52,994","20,548",64,3,299,-,100,199
2312,東三河南部,"708,834","190,868","1,350",37,7310,1393,2462,3427
2313,名古屋・尾張中部,"2,898,593","726,241","8,176",125,24573,4419,4220,15869
2401,北勢,"837,114","221,666",17,41,7873,2078,1507,4274
2402,中勢伊賀,"301,281","93,900",12,28,5586,1268,775,3505
2403,南勢志摩,"425,247","143,404","1,105",19,4625,904,908,2807
2404,東紀州,"66,560","28,515",118,5,1085,320,335,426
2501,大津,"344,247","93,356","1,349",15,3862,850,656,2311
2502,湖南,"343,270","76,562",834,14,2913,239,327,2341
2503,甲賀,"144,140","39,232",228,7,1538,407,299,828
2504,東近江,"227,997","63,225",509,11,2510,406,748,1336
2505,湖東,"154,656","40,316",252,4,1219,120,185,900
2506,湖北,"153,986","44,690",317,4,1411,249,161,997
2507,湖西,"46,926","16,841",86,3,410,-,100,306
2601,丹後,"92,519","35,401",184,6,1195,-,219,957
2602,中丹,"188,451","60,802",425,16,2857,755,392,1700
2603,南丹,"131,619","43,747",270,9,1307,-,130,1163
2604,京都・乙訓,"1,756,216","505,083","7,020",102,21316,4039,2091,15061
2605,山城北,"443,385","130,907",990,24,4599,833,676,3049
2606,山城南,"124,140","32,787",178,3,671,-,50,611
2701,豊能,"1,058,494","271,787","4,004",47,10853,1987,1416,7436
2702,三島,"752,033","202,864","2,252",36,8584,2302,1078,5204
2703,北河内,"1,139,446","328,780","2,878",60,11720,1707,1804,8072
2704,中河内,"813,585","231,538","1,626",35,6961,1470,1280,4211
2705,南河内,"593,414","184,382","1,849",39,7991,1573,1509,4843
2706,堺市,"1,237,963","346,055","2,055",43,11878,2577,3543,5711
2707,泉州,"876,472","241,451","1,959",72,14510,6237,3600,4663
2708,大阪市,"3,562,073","916,110","9,895",174,31513,223,5839,25379
2801,神戸,"1,752,971","484,448","5,534",110,18779,3555,2755,12409
2804,東播磨,"721,033","199,600","1,675",39,7423,1462,1468,4485
2805,北播磨,"264,936","86,197",673,22,4391,847,1034,2504
