コード,二次医療圏,総人口,高齢者数,医師数,病院数,病床数,病床数（精神）,病床数（療養）,病床数（一般）
2808,但馬,"160,510","58,124",377,11,1928,556,197,1164
2809,丹波,"102,727","35,926",214,7,1370,266,446,654
2810,淡路,"130,873","47,985",319,11,2026,355,885,767
2811,阪神,"1,769,649","478,929","4,945",88,17939,2304,4273,11276
2812,播磨姫路,"800,511","236,110","1,865",59,9969,2191,1682,6086
2901,奈良,"353,158","111,716","1,050",22,4264,627,658,2942
2902,東和,"206,482","68,442",600,12,2480,43,386,2047
2903,西和,"335,679","107,740",755,18,3878,836,599,2443
2904,中和,"372,016","108,559","1,320",19,4799,1360,944,2486
2905,南和,"69,038","28,002",143,4,530,-,161,365
3001,和歌山,"419,681","133,651","1,802",43,6137,773,1023,4333
3002,那賀,"114,720","33,148",235,8,1114,218,232,660
3003,橋本,"83,931","30,047",209,5,907,120,113,670
3004,有田,"70,780","24,255",134,6,931,300,155,472
3005,御坊,"65,907","23,315",157,4,959,100,51,789
3006,田辺,"123,037","35,578",321,9,1620,198,361,1057
3007,新宮,"63,266","26,655",152,8,1162,335,182,641
3101,東部,"221,627","69,802",616,14,3349,739,646,1950
3102,中部,"99,820","34,989",227,10,1490,278,315,893
3103,西部,"255,401","82,171","1,035",19,3474,698,782,1984
3201,松江,"236,548","73,718",867,13,3498,886,358,2242
3202,雲南,"52,952","21,967",85,5,642,100,180,358
3203,出雲,"174,693","52,311",78,11,2645,460,611,1568
3204,大田,"65,148","26,853",106,4,576,168,126,278
3205,浜田,"74,039","28,295",103,6,1274,402,276,592
3206,益田,"57,888","23,462",206,5,911,215,148,540
3207,隠岐,"19,259","8,096",60,2,159,22,24,111
3301,県南東部,"1,029,467","304,781",14,75,13853,2967,1460,9338
3302,県南西部,"705,879","209,270",7,53,9391,1363,1540,6453
3303,高梁・新見,"56,299","23,668",10,8,872,240,233,399
3304,真庭,"44,297","17,467",77,7,717,170,194,353
3305,津山・英田,"174,214","59,877",373,16,2264,535,614,1097
3401,広島,"1,535,004","428,462","4,249",92,15042,3310,2649,9024
3402,広島西,"142,988","45,379",2,13,2376,476,773,1127
3403,呉,"234,778","86,291",775,30,4414,1250,757,2361
3404,広島中央,"220,263","60,003",459,20,3233,920,628,1665
3405,尾三,"237,659","87,161",594,22,4002,904,756,2342
3406,福山・府中,"732,073","196,192","1,148",45,6176,1490,1164,3510
3407,備北,"83,766","32,933",224,10,1686,235,654,795
3501,岩国,"136,416","48,423",8,17,2216,525,664,1027
3502,柳井,"73,989","31,422",165,8,1698,430,512,756
3503,周南,"275,566","91,620",1,23,3603,609,1151,1831
3504,山口・防府,"304,003","92,229",764,27,4419,1142,1187,2076
3505,宇部・小野田,"245,373","85,271","1,058",28,5578,1537,1414,2597
3506,下関,"253,996","91,482",1,24,5047,1096,1814,2101
3507,長門,"32,336","14,233",5,5,834,318,175,333
3508,萩,"30,532","11,607",92,7,949,188,428,333
3601,東部,"512,663","161,847","1,904",71,9556,2635,2571,4312
3603,南部,"149,565","56,631",410,19,2040,258,406,1368
3605,西部,"73,925","30,765",164,16,1681,682,340,645
3702,小豆,"27,146","11,734",42,3,465,184,78,194
3706,東部,"530,453","159,788","1,828",41,7002,1384,772,4807
3707,西部,"407,286","132,426",976,43,6592,1682,1242,3660
3801,宇摩,"84,404","27,954",170,8,1185,334,323,524
3802,新居浜・西条,"223,466","72,780",467,21,3611,981,660,1963
3803,今治,"160,685","58,042",341,28,2164,343,564,1253
3804,松山,"194,380","63,584","2,374",50,9238,1859,1932,5419
3805,八幡浜・大洲,"133,521","54,549",275,15,2097,527,561,997
3806,宇和島,"104,988","43,876",261,12,1965,266,283,1407
3901,安芸,"44,965","20,207",109,6,891,411,176,299
3902,中央,"514,665","169,017","1,979",91,12507,2571,3549,6337
3903,高幡,"51,919","22,707",81,8,835,218,293,324
3904,幡多,"81,820","33,846",177,15,1505,348,443,683
4001,福岡・糸島,"1,542,253","396,962","6,583",123,22118,4315,4218,13529
4002,粕屋,"266,078","63,305",595,26,4178,1006,942,2162
4003,宗像,"165,065","48,026",297,14,2263,968,530,765
4004,筑紫,"442,843","107,819",904,27,4653,1311,1266,2072
4005,朝倉,"83,551","28,155",163,8,1242,340,360,542
4006,久留米,"267,803","80,718","2,019",47,8747,2027,1968,4738
4007,八女・筑後,"117,449","38,172",322,14,2300,464,780,1054
4008,有明,"210,268","76,907",603,31,5572,1666,1073,2811
4009,飯塚,"176,026","59,650",665,20,3520,857,388,2275
4010,直方・鞍手,"105,648","37,356",211,12,1842,730,317,765
4011,田川,"113,071","41,798",262,16,2938,1607,321,1002
4012,北九州,"1,068,974","338,020","3,797",101,19883,4602,4252,10955
4013,京築,"185,148","59,440",301,14,2438,900,749,789
4101,中部,"340,649","100,230","2,164",37,5601,1399,1036,3158
4102,東部,"127,064","34,619",764,13,2418,772,853,759
4103,北部,"123,692","40,681",190,16,1951,611,490,846
4104,西部,"72,601","24,112",552,9,1132,330,398,400
4105,南部,"148,187","49,887",446,21,3052,1005,856,1187
4201,長崎,"502,834","165,236","2,256",51,10802,3709,2457,4609
4202,佐世保県北,"308,590","102,985",327,35,5517,1408,1419,2664
4203,県央,"268,876","78,485",152,32,5336,1807,966,2531
4204,県南,"129,346","48,354",246,17,2125,574,718,829
4206,五島,"35,577","14,563",51,4,508,60,54,380
4207,上五島,"20,319","8,855",172,1,186,-,50,132
4208,壱岐,"25,494","9,774",20,5,483,78,149,246
4209,対馬,"29,019","11,251",62,2,335,45,-,282
4302,宇城,"118,410","39,697",1,11,1644,607,243,768
4303,有明,"155,278","56,263",308,11,2240,906,559,771
4304,鹿本,"50,051","19,032",106,6,826,240,207,375
4305,菊池,"190,257","48,813",331,16,2973,816,319,1834
4306,阿蘇,"67,521","25,737",85,6,964,270,385,305
4308,八代,"135,316","47,378",382,11,2333,775,540,1014
4309,芦北,"43,795","18,719",136,10,1358,380,235,739
4310,球磨,"82,960","32,159",194,11,1405,404,367,624
4311,天草,"58,062","24,455",258,18,2632,697,986,923
4312,熊本・上益城,"1,227,380","345,766","3,452",103,15898,3622,3303,8940
4401,東部,"197,753","70,840",13,33,4396,850,665,2861
4403,中部,"564,532","167,229","2,012",62,9062,2881,620,5545
4405,南部,"68,364","27,850",151,8,1167,180,284,699
4406,豊肥,"54,494","24,886",44,6,827,212,111,500
4408,西部,"86,593","32,184",153,20,1568,567,241,756
4409,北部,"159,404","53,964",348,22,2438,584,444,1406
4501,宮崎東諸県,"426,953","124,370",18,38,6079,1398,1070,3533
4502,都城北諸県,"188,670","58,854",385,28,3623,1419,393,1807
4503,延岡西臼杵,"134,733","48,211",281,20,2631,944,528,1155
4504,日南串間,"68,352","27,278",173,10,1767,674,316,773
4505,西諸,"70,810","28,414",17,15,1342,431,300,607
4506,西都児湯,"97,906","34,977",148,10,1180,155,319,702
4507,日向入郷,"100,325","34,960",151,11,1555,814,292,445
4601,鹿児島,"675,639","195,459","2,887",100,13506,3581,2727,7151
4603,南薩,"125,545","50,935",297,30,3493,1446,851,1168
4605,川薩,"113,226","38,731",274,15,1915,576,485,850
4606,出水,"81,977","29,562",11,8,1227,495,249,479
4607,姶良・伊佐,"236,108","73,529",442,33,4913,1599,1359,1947
4609,曽於,"76,702","30,227",85,8,831,124,327,378
4610,肝属,"150,038","51,604",290,17,2818,653,310,1851
4611,熊毛,"39,721","15,150",56,4,536,130,-,401
4612,奄美,"106,463","37,695",183,15,2433,736,497,1179
4701,北部,"125,904","36,173",210,9,1835,337,436,1060
4702,中部,"517,823","113,246","1,127",28,5971,1859,1299,2779
4703,南部,"748,392","169,709","2,493",45,9664,3006,1646,4992
4704,宮古,"56,558","15,400",99,4,758,49,216,487
4705,八重山,"55,733","12,723",100,3,474,38,88,339
