コード,二次医療圏,総人口,高齢者数,医師数,病院数,病床数,病床数（精神）,病床数（療養）,病床数（一般）
101,南渡島,"345,896","127,681",910,32,6752,1603,1028,4105
102,南檜山,"19,997","8,644",24,5,429,48,111,266
103,北渡島檜山,"31,167","12,768",42,6,730,100,184,442
104,札幌,"2,376,609","685,275",7807,226,40352,8301,7785,24227
105,後志,"193,073","74,289",439,21,3681,1203,719,1751
106,南空知,"144,604","58,053",266,17,2501,774,467,1256
107,中空知,"93,113","38,130",231,16,3004,1225,821,948
108,北空知,"28,105","12,388",66,5,984,429,352,199
109,西胆振,"166,809","64,123",401,21,4560,1464,1288,1780
110,東胆振,"201,237","65,439",338,15,2477,693,399,1381
111,日高,"60,906","21,746",69,7,729,158,162,405
112,上川中部,"371,389","131,070",1274,37,6851,1056,1446,4320
113,上川北部,"56,623","21,710",117,7,916,55,341,516
114,富良野,"38,411","13,145",57,4,563,170,97,292
115,留萌,"40,196","16,364",55,5,655,99,167,385
116,宗谷,"57,694","20,416",74,8,700,70,132,494
117,北網,"199,090","70,395",337,24,2988,455,610,1919
118,遠紋,"61,930","23,414",85,7,657,135,108,410
119,十勝,"320,649","103,981",667,32,4520,467,938,3109
120,釧路,"213,121","75,968",305,22,3745,475,931,2325
121,根室,"86,463","26,460",69,7,702,215,60,423
201,津軽地域,"266,605","92,543",944,19,4003,851,666,2482
202,八戸地域,"304,231","102,257",646,26,4215,1287,526,2396
203,青森地域,"287,308","97,529",672,21,4307,1100,620,2549
204,西北五地域,"117,293","47,410",172,8,980,164,252,560
205,上十三地域,"163,559","56,414",222,11,1713,639,172,898
206,下北地域,"66,582","24,043",104,3,562,54,80,424
301,盛岡,"450,580","138,544",1556,38,6766,1507,978,4261
302,岩手中部,"212,009","70,682",334,12,2031,528,195,1282
303,胆江,"124,930","44,512",250,9,1559,274,290,967
304,両磐,"114,414","44,251",204,8,1413,359,60,980
305,気仙,"55,309","22,484",92,3,702,198,60,430
306,釜石,"40,611","16,300",68,6,887,204,102,581
307,宮古,"72,121","29,496",98,6,1134,510,148,462
308,久慈,"53,388","20,544",68,4,666,210,85,367
309,二戸,"48,987","20,565",79,3,550,147,45,349
401,仙南,"159,639","56,997",274,13,1774,601,319,850
403,仙台,"1,490,796","385,791",4973,77,16050,3823,1269,10948
406,大崎・栗原,"251,201","90,760",491,25,2991,692,879,1385
409,石巻・登米・気仙沼,"321,733","116,600",609,19,3529,1023,640,1858
501,県北,"201,628","86,384",373,17,3047,763,536,1726
502,県央,"467,763","167,281",1352,32,7324,2149,884,4265
503,県南,"255,229","104,431",486,15,3117,884,308,1907
601,村山,"515,539","170,849",1595,33,7459,2112,907,4432
602,最上,"67,332","25,848",109,5,890,180,92,614
603,置賜,"191,175","68,244",378,14,2204,404,344,1452
604,庄内,"253,463","94,470",532,14,3007,650,696,1657
701,県北,"420,585","138,184",1627,30,5804,1520,357,3893
702,県中,"501,806","151,840","1,145",32,6920,1712,741,4461
703,県南,"135,475","43,400",236,7,1376,361,125,874
706,相双,"158,454","57,362",199,10,1485,303,302,880
707,いわき,"306,714","98,612",613,25,4391,1131,899,2340
708,会津・南会津,"250,306","92,545",513,18,3640,934,465,2219
801,水戸,"455,403","135,902",1217,39,6050,1228,830,3958
802,日立,"234,270","81,126",400,20,3555,1248,581,1722
803,常陸太田・ひたちなか,"348,514","110,532",378,19,2305,323,456,1510
804,鹿行,"265,720","82,004",257,11,1704,178,540,980
805,土浦,"252,963","78,737",536,17,3135,1168,425,1536
806,つくば,"369,870","81,412",1614,15,3768,502,611,2616
807,取手・竜ヶ崎,"461,187","145,442",791,23,4687,1151,525,3003
808,筑西・下妻,"252,218","80,820",312,14,2242,377,856,1008
809,古河・坂東,"225,545","67,734",332,11,2532,999,218,1311
901,県北,"360,863","115,481",598,21,3778,1071,664,2037
902,県西,"170,220","57,739",304,9,1554,441,347,762
903,宇都宮,"515,831","135,226",1084,32,6207,1873,1254,3044
904,県東,"139,103","43,379",207,5,984,240,148,592
905,県南,"475,603","138,085",2095,23,5251,660,730,3854
906,両毛,"255,167","83,174",518,16,2864,674,507,1679
1001,前橋,"329,860","99,522",1638,20,4365,922,382,3044
1002,渋川,"110,279","35,451",286,10,2183,977,100,1056
1003,伊勢崎,"247,969","64,303",452,11,2649,757,374,1514
1004,高崎・安中,"422,504","125,752",996,30,4496,878,940,2662
1005,藤岡,"64,864","22,138",176,5,866,-,155,707
1006,富岡,"66,176","24,926",155,4,926,360,107,455
1007,吾妻,"38,232","15,203",75,9,1320,223,389,704
1008,沼田,"69,839","26,754",164,7,893,-,270,619
1009,桐生,"151,909","53,136",307,12,2056,286,513,1253
1010,太田・館林,"224,222","71,791",661,18,3239,590,568,2071
1101,南部,"824,124","180,451",2182,31,5455,988,939,3528
1102,南西部,"737,001","172,385",1224,30,5607,1041,943,3619
1103,東部,"1,160,793","307,934",838,49,9278,1602,1248,6421
1104,さいたま,"1,684,135","444,643",497,39,7965,1157,1170,5608
1105,県央,"532,645","154,554",532,18,3930,682,817,2422
1106,川越比企,"784,363","236,862",251,48,9334,2431,1887,5004
1107,西部,"769,992","231,019",591,52,9597,2405,2107,5076
1108,利根,"635,781","202,945",369,31,5610,1230,609,3687
1109,北部,"509,451","157,010",534,34,5310,1618,925,2708
1110,秩父,"91,853","33,670",196,7,697,-,225,472
1201,千葉,"1,013,841","267,609","3,230",47,9261,1254,1564,6432
1202,東葛南部,"1,802,165","416,975",823,61,14514,3510,2500,8451
1203,東葛北部,"1,429,585","377,887",318,58,12437,2291,1932,8206
1204,印旛,"729,508","212,247",1242,30,7710,1514,1445,4742
1205,香取海匝,"254,524","94,160",256,21,3450,839,783,1808
1206,山武長生夷隅,"406,169","151,058",265,23,4059,1022,1111,1918
1207,安房,"116,644","49,934",529,16,2575,718,423,1430
1208,君津,"324,147","98,966",245,19,2992,606,809,1553
1209,市原,"268,517","82,422",6,13,2402,369,396,1637
1301,区中央部,"1,024,649","205,730",12561,48,13406,240,493,12641
1302,区南部,"1,141,914","245,361",3703,40,7781,178,1336,6247
1303,区西南部,"1,428,270","286,519",25,52,10671,1184,1954,7501
1304,区西部,"1,259,446","254,262",2,41,9782,68,1206,8497
1305,区西北部,"1,890,722","430,958","5,572",93,17068,3007,3904,10137
1306,区東北部,"1,379,491","331,779","2,529",91,11330,1186,2128,7975
1307,区東部,"1,513,624","319,481","3,329",55,8930,165,1488,7245
1308,西多摩,"374,860","115,151",655,28,5906,2148,1969,1783
1309,南多摩,"1,420,123","383,868","2,548",73,15868,6381,3474,6005
1310,北多摩西部,"661,095","165,956","1,403",26,5030,296,935,3763
1311,北多摩南部,"1,043,336","232,765","3,483",42,10498,3352,1120,5919
1312,北多摩北部,"745,671","192,204",1613,43,8287,2045,1453,4617
1313,島しょ,"23,637","8,508",35,1,54,-,-,52
1404,川崎北部,"860,616","179,655",2,20,5696,1494,646,3556
1405,川崎南部,"668,520","130,168",1,18,4848,238,469,4089
1406,横須賀・三浦,"690,473","223,109",3,29,5932,819,993,4114
