コード,二次医療圏,総人口,高齢者数,医師数,病院数,病床数,病床数（精神）,病床数（療養）,病床数（一般）
1407,湘南東部,"742,092","188,915",2,25,5146,913,1186,3041
1408,湘南西部,"576,075","171,725",27,21,6122,1502,1090,3494
1409,県央,"706,347","187,892",1,32,6828,1586,994,4242
1410,相模原,"512,741","138,500","1,671",34,6841,961,2263,3611
1411,県西,"333,782","109,143",646,23,3781,855,894,2026
1412,横浜,"3,797,572","977,809","9,597",130,27650,4860,4347,18341
1501,下越,"194,117","69,189",366,15,2525,756,420,1345
1502,新潟,"1,434,024","421,361","2,614",47,10697,2356,1605,6698
1503,県央,"212,046","71,890",301,9,1519,240,180,1095
1504,中越,"415,750","138,725",876,19,5338,1501,542,3289
1505,魚沼,"151,391","58,249",257,11,1610,333,152,1121
1506,上越,"251,655","88,688",506,14,2833,797,103,1927
1507,佐渡,"49,336","20,992",85,2,453,60,-,389
1601,新川,"107,599","37,727",10,14,1759,290,573,887
1602,富山,"486,104","148,431",4,47,7135,1286,1841,3976
1603,高岡,"298,255","100,453",676,26,3618,862,643,2086
1604,砺波,"122,329","43,507",2,16,1999,518,535,937
1701,南加賀,"224,445","67,429",451,17,2451,565,350,1522
1702,石川中央,"711,322","193,224","2,652",58,11757,2783,2495,6446
1703,能登中部,"115,232","46,709",257,8,1557,230,51,1232
1704,能登北部,"59,861","27,539",93,5,556,-,36,509
1801,福井・坂井,"389,372","117,222",1557,35,5938,1118,783,4014
1802,奥越,"51,934","19,808",72,6,510,135,93,282
1803,丹南,"173,543","52,718",245,16,1763,378,464,905
1804,嶺南,"130,826","42,166",267,10,1775,501,295,967
1901,中北,"458,493","135,309","1,590",32,5899,1253,1070,3542
1902,峡東,"129,985","43,322",291,14,2421,482,568,1367
1903,峡南,"56,298","22,725",59,6,481,-,98,379
1904,富士・東部,"171,216","56,095",286,8,1568,480,137,943
2001,佐久,"205,451","67,023",579,13,2248,295,251,1698
2002,上小,"191,496","61,027",375,14,2307,557,436,1310
2003,諏訪,"184,784","61,357",495,11,1960,212,212,1532
2004,上伊那,"146,631","46,927",305,9,1527,330,274,919
2005,飯伊,"152,841","52,562",313,9,1530,235,277,1014
2006,木曽,"18,089","7,943",34,1,149,-,19,126
2007,松本,"418,355","124,585",1653,26,4920,1175,333,3385
2008,大北,"53,167","19,650",140,2,523,120,48,351
2009,長野,"523,051","166,485",1256,32,6131,1317,900,3882
2010,北信,"86,331","31,261",174,3,823,140,82,597
2101,岐阜,"794,063","226,069",2417,39,8130,1147,1232,5715
2102,西濃,"337,888","106,017",693,14,3361,986,445,1884
2103,中濃,"367,841","121,419",692,19,3340,705,459,2170
2104,東濃,"318,302","105,164",652,14,2776,541,258,1958
2105,飛騨,"136,954","49,837",278,8,1504,404,191,897
2201,賀茂,"57,738","26,802",656,8,1149,438,239,468
2202,熱海伊東,"99,367","45,374",848,6,974,-,246,724
2203,駿東田方,"604,258","186,565",585,46,7332,1136,1650,4540
2204,富士,"376,056","110,670",52,17,3383,903,789,1675
2205,静岡,"677,736","210,447",130,27,7141,961,1670,4454
2206,志太榛原,"451,249","141,132",126,13,3602,350,902,2340
2207,中東遠,"462,226","133,125",57,19,3548,877,1043,1622
2208,西部,"1,135,129","326,019",94,34,8622,1727,1777,5080
2302,海部,"329,111","89,601",558,11,2127,480,517,1124
2304,尾張東部,"478,515","117,779",1,18,5496,1264,716,3485
2305,尾張西部,"512,088","141,128",1148,18,4494,922,652,2896
2306,尾張北部,"752,208","206,540",1432,26,5878,1096,1429,3347
2307,知多半島,"612,563","155,799",5,19,3966,860,491,2607
2308,西三河北部,"477,810","114,700",931,20,3501,722,585,2188
2309,西三河南部西,"705,621","158,644","1,257",22,4668,393,1227,3042
2310,西三河南部東,"426,211","103,284",804,15,3061,705,716,1640
2311,東三河北部,"51,047","20,272",67,3,299,-,100,199
2312,東三河南部,"702,075","191,840","1,335",36,7229,1383,2424,3394
2313,名古屋・尾張中部,"2,907,471","730,933",8373,119,23934,4320,3756,15796
2401,北勢,"830,862","222,218",13,40,7831,2078,1473,4274
2402,中勢伊賀,"297,848","92,840",9,28,5484,1268,745,3448
2403,南勢志摩,"413,778","142,021",1149,19,4578,904,888,2780
2404,東紀州,"63,553","27,541",115,5,1029,320,335,370
2501,大津,"343,916","95,055","1,374",15,3802,828,656,2273
2502,湖南,"346,975","77,889",936,14,2917,239,327,2345
2503,甲賀,"142,875","40,022",214,7,1488,407,249,828
2504,東近江,"226,233","63,588",509,11,2510,406,748,1336
2505,湖東,"153,437","40,595",255,4,1219,120,185,900
2506,湖北,"151,315","44,668",304,4,1376,249,161,962
2507,湖西,"45,783","16,733",89,3,410,-,100,306
2601,丹後,"89,047","34,789",179,6,1188,-,219,957
2602,中丹,"183,643","59,645",429,16,2846,755,392,1690
2603,南丹,"129,630","43,680",271,9,1307,-,130,1163
2604,京都・乙訓,"1,745,848","503,258",6870,102,21006,3863,2086,14932
2605,山城北,"439,919","130,378",997,24,4637,833,463,3294
2606,山城南,"123,433","33,333",179,3,705,-,50,645
2701,豊能,"1,059,112","272,448",4044,46,10616,1878,1296,7428
2702,三島,"750,719","201,894",2270,36,8456,2200,1074,5182
2703,北河内,"1,126,341","325,542","2,860",60,11692,1707,1776,8072
2704,中河内,"806,243","228,132",1684,35,6915,1439,1265,4211
2705,南河内,"584,591","183,754",1884,37,7692,1563,1449,4629
2706,堺市,"1,236,562","348,620","2,017",43,11788,2448,3571,5687
2707,泉州,"865,442","241,167","2,100",71,14417,6237,3491,4679
2708,大阪市,"3,580,145","912,691","9,821",173,31252,219,5712,25249
2801,神戸,"1,743,305","487,813","5,708",109,18710,3495,2746,12414
2804,東播磨,"718,326","199,826","1,636",39,7437,1402,1468,4559
2805,北播磨,"259,970","85,938",656,21,4257,847,886,2518
2808,但馬,"155,053","57,489",380,10,1828,556,160,1101
2809,丹波,"100,544","35,792",220,7,1370,266,446,654
2810,淡路,"127,777","47,247",343,11,1984,355,852,758
2811,阪神,"1,756,116","480,001","4,988",87,17897,2154,4132,11565
2812,播磨姫路,"787,888","235,822",1978,57,9903,2145,1675,6073
2901,奈良,"349,385","112,159",1181,22,4264,627,536,3064
2902,東和,"201,160","68,007",525,12,2472,43,384,2041
2903,西和,"330,832","107,547",798,18,3878,836,599,2443
2904,中和,"368,344","109,244","1,319",19,4741,1360,886,2486
2905,南和,"65,812","27,551",148,4,538,-,169,365
3001,和歌山,"411,542","132,160","1,808",43,5978,769,975,4226
3002,那賀,"113,637","33,484",236,8,1107,211,232,660
3003,橋本,"81,664","29,857",219,5,907,120,113,670
3004,有田,"68,622","23,960",125,6,931,300,155,472
3005,御坊,"63,631","22,956",161,4,909,100,51,739
3006,田辺,"123,120","35,592",305,9,1416,198,180,1034
3007,新宮,"60,426","26,007",144,8,1121,335,162,620
3101,東部,"216,877","69,971",611,14,3194,739,498,1943
3102,中部,"96,974","34,680",229,10,1462,250,315,893
3103,西部,"250,746","81,588",992,19,3321,579,762,1970
3201,松江,"231,876","73,340",878,13,3476,864,358,2242
3202,雲南,"50,906","21,435",84,5,642,100,180,358
3203,出雲,"172,607","52,271",71,11,2645,460,611,1568
3204,大田,"62,794","26,408",111,4,576,168,126,278
3205,浜田,"71,429","27,655",92,6,1216,402,259,551
3206,益田,"56,008","23,079",205,5,851,215,88,540
3207,隠岐,"18,701","7,944",60,2,159,22,44,91
3301,県南東部,"1,022,420","305,859",15,76,13610,2967,1349,9206
3302,県南西部,"697,845","208,376",6,52,9095,1303,1376,6381
3303,高梁・新見,"53,518","23,073",11,8,808,180,202,426
3304,真庭,"42,517","17,100",69,6,635,170,155,310
3305,津山・英田,"169,262","59,257",362,16,2244,535,597,1094
3401,広島,"1,525,688","431,292",4365,93,14958,3210,2631,9058
3402,広島西,"141,766","45,814",2,13,2376,476,773,1127
3403,呉,"226,345","84,121",757,30,4353,1250,739,2340
3404,広島中央,"220,488","60,248",464,19,3242,920,628,1674
3405,尾三,"231,293","85,666",590,21,3942,904,699,2339
3406,福山・府中,"726,304","196,838",1084,45,6085,1490,1060,3523
3407,備北,"80,773","32,047",237,10,1664,235,654,773
3501,岩国,"132,654","47,698",9,17,2143,525,645,973
3502,柳井,"71,085","30,670",163,8,1580,430,426,724
3503,周南,"269,458","90,599",1,23,3579,609,1093,1865
3504,山口・防府,"301,382","92,120",773,26,4273,1136,1211,1912
3505,宇部・小野田,"239,432","84,020","1,032",28,5513,1526,1381,2576
3506,下関,"247,000","89,973",-,24,4965,1096,1679,2154
3507,長門,"30,920","13,847",6,5,789,318,135,328
3508,萩,"29,343","11,486",86,7,949,188,428,333
3601,東部,"503,732","161,722",1908,68,9372,2635,2469,4230
3603,南部,"144,714","55,842",409,19,2040,258,356,1418
3605,西部,"70,650","30,270",153,16,1671,682,330,645
3702,小豆,"26,077","11,464",48,3,465,184,78,194
3706,東部,"522,788","159,518",1845,41,6892,1384,719,4750
3707,西部,"399,720","131,350",993,42,6554,1682,1204,3660
3801,宇摩,"82,202","27,829",169,8,1185,334,323,524
3802,新居浜・西条,"218,544","71,873",479,21,3573,941,660,1963
3803,今治,"156,638","56,906",350,28,2149,336,556,1253
3804,松山,"193,315","64,108",2390,50,9155,1859,1842,5430
3805,八幡浜・大洲,"128,287","53,381",265,15,1969,427,566,964
3806,宇和島,"100,521","42,817",264,12,1938,266,268,1395
3901,安芸,"43,003","19,524",116,6,884,385,176,318
3902,中央,"504,195","167,710",1828,89,12285,2489,3402,6344
3903,高幡,"49,669","22,087",82,8,835,218,293,324
3904,幡多,"78,756","33,277",189,15,1505,348,443,683
4001,福岡・糸島,"1,553,457","404,386",6517,121,21593,4287,4069,13181
4002,粕屋,"265,310","64,257",628,26,4128,997,904,2159
4003,宗像,"165,858","48,578",300,14,2263,968,530,765
4004,筑紫,"443,146","109,892",950,27,4534,1261,1102,2167
4005,朝倉,"82,853","28,110",162,8,1244,340,360,544
4006,久留米,"265,386","80,662",2199,47,8735,2015,1968,4738
4007,八女・筑後,"115,886","38,127",307,14,2302,464,780,1056
4008,有明,"203,872","75,784",583,30,5470,1666,991,2791
4009,飯塚,"172,764","59,237",656,19,3424,857,300,2267
4010,直方・鞍手,"103,718","36,837",214,12,1832,730,287,795
4011,田川,"109,784","41,097",252,16,2861,1563,311,979
4012,北九州,"1,051,843","335,150","3,834",101,19667,4464,4245,10884
4013,京築,"183,072","59,331",285,14,2433,895,749,789
4101,中部,"336,915","100,686",2191,37,5571,1379,1036,3148
4102,東部,"127,644","34,969",830,13,2415,772,853,766
4103,北部,"120,441","40,715",204,15,1870,533,507,826
4104,西部,"71,119","24,256",566,9,1126,324,398,400
4105,南部,"144,932","49,880",465,21,3022,981,856,1181
4201,長崎,"490,634","165,287",2251,50,10548,3677,2384,4460
4202,佐世保県北,"300,414","102,166",356,35,5429,1352,1401,2650
4203,県央,"267,398","79,560",160,32,5330,1801,966,2531
4204,県南,"125,565","48,178",256,16,2065,574,658,829
4206,五島,"34,491","14,464",57,4,508,60,54,380
4207,上五島,"19,311","8,781",175,1,186,-,50,132
4208,壱岐,"24,360","9,556",22,4,403,50,126,217
4209,対馬,"27,821","11,169",70,2,335,45,-,282
4302,宇城,"116,522","39,710",1,10,1533,607,185,715
4303,有明,"151,785","55,729",298,11,2240,906,559,771
4304,鹿本,"48,639","18,917",104,6,826,240,207,375
4305,菊池,"191,493","49,624",350,16,2922,816,269,1833
4306,阿蘇,"66,373","25,454",90,6,912,270,309,329
4308,八代,"132,601","46,910",359,11,2272,775,507,986
4309,芦北,"41,633","18,450",136,10,1328,380,205,739
4310,球磨,"79,776","31,667",192,11,1444,393,417,630
4311,天草,"54,979","24,030",244,18,2622,697,961,938
4312,熊本・上益城,"1,227,376","350,958",3211,101,15598,3610,3063,8892
4401,東部,"195,170","69,862",13,33,4362,850,657,2837
4403,中部,"559,251","168,602",1970,62,8985,2881,549,5539
4405,南部,"65,624","27,396",156,8,1178,180,284,710
4406,豊肥,"52,145","24,332",49,6,827,212,111,500
4408,西部,"83,711","31,770",155,20,1576,567,277,728
4409,北部,"156,926","53,541",354,21,2472,580,440,1448
4501,宮崎東諸県,"422,752","125,503",18,38,6014,1390,1067,3478
4502,都城北諸県,"187,393","59,121",391,27,3553,1419,329,1801
4503,延岡西臼杵,"130,370","47,386",292,20,2531,944,422,1161
4504,日南串間,"65,554","26,870",167,9,1655,674,203,774
4505,西諸,"68,503","28,163",17,14,1264,431,255,574
4506,西都児湯,"95,635","34,669",136,10,1147,155,286,702
4507,日向入郷,"97,716","34,847",141,11,1555,814,313,424
4601,鹿児島,"668,861","198,697",2978,100,13534,3581,2687,7218
4603,南薩,"120,954","50,394",295,29,3378,1424,774,1162
4605,川薩,"110,699","38,356",278,15,1855,516,485,850
4606,出水,"79,964","29,328",10,8,1227,495,249,479
4607,姶良・伊佐,"234,005","74,266",503,34,4829,1635,1223,1963
4609,曽於,"74,283","30,031",79,7,676,124,231,319
4610,肝属,"145,871","51,251",297,17,2788,653,294,1837
4611,熊毛,"38,476","15,006",54,4,520,130,-,385
4612,奄美,"103,248","37,724",199,15,2412,708,485,1198
4701,北部,"125,228","37,147",211,9,1835,337,436,1060
4702,中部,"518,231","117,012",1132,29,6086,1859,1339,2854
4703,南部,"747,032","174,387",2494,46,9751,3002,1586,5143
4704,宮古,"56,783","15,868",102,4,720,49,216,449
4705,八重山,"56,139","13,232",104,3,464,38,88,329
