コード,二次医療圏,総人口,高齢者数,医師数,病院数,病床数,病床数（精神）,病床数（療養）,病床数（一般）
2313,名古屋・尾張中部,"2,903,383","715,915","7,918",127,24762,4449,4321,15927
2401,北勢,"844,699","218,542",18,41,7895,2078,1523,4280
2402,中勢伊賀,"305,245","92,757",15,28,5718,1315,849,3516
2403,南勢志摩,"436,009","142,997","1,087",19,4633,895,908,2824
2404,東紀州,"69,341","28,867",115,5,1175,320,425,426
2501,大津,"343,815","90,809","1,357",15,3879,859,656,2319
2502,湖南,"340,078","74,341",801,13,2913,239,367,2301
2503,甲賀,"145,992","38,109",217,7,1538,407,299,828
2504,東近江,"229,864","61,996",466,11,2510,406,748,1336
2505,湖東,"156,167","39,570",251,4,1219,120,185,900
2506,湖北,"156,829","44,187",319,4,1417,249,161,1003
2507,湖西,"48,203","16,669",85,3,410,-,100,306
2601,丹後,"95,565","35,588",185,6,1195,-,219,957
2602,中丹,"192,902","61,197",443,17,2923,755,368,1790
2603,南丹,"133,901","43,187",257,10,1397,-,220,1163
2604,京都・乙訓,"1,776,685","501,748","7,151",103,21850,4337,2284,15104
2605,山城北,"446,894","129,438",934,24,4570,833,676,3020
2606,山城南,"123,364","31,636",186,3,671,-,50,611
2701,豊能,"1,053,235","268,960","3,996",47,10885,2019,1476,7376
2702,三島,"752,100","200,955","2,193",38,8677,2302,1080,5295
2703,北河内,"1,151,876","327,699","2,804",61,11785,1707,1926,7991
2704,中河内,"823,841","233,014","1,598",35,7000,1482,1210,4308
2705,南河内,"603,449","183,578","1,859",39,8031,1577,1561,4827
2706,堺市,"1,239,378","339,914","2,032",43,11920,2601,3622,5650
2707,泉州,"890,550","238,809","2,115",73,14570,6237,3643,4680
2708,大阪市,"3,574,740","911,682","9,834",176,31693,235,5975,25411
2801,神戸,"1,760,138","477,621","5,286",108,18734,3567,2826,12281
2804,東播磨,"724,368","196,542","1,607",39,7428,1462,1462,4496
2805,北播磨,"271,088","85,278",672,22,4391,847,1034,2504
